strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths
0 409fad40b1d62eb940fdde6354a74f3e8d454d09,0.18006798679865493,0.9982397809505182,0.17966679727170756,0.9998044201056131,5112
0 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.20660053646775092,0.9957884885353299,0.20564064781483465,0.9995320542817033,2136
0 cc406827f27a6e34d2407e7795c952a3ef205827,0.20660053646775092,0.9957884885353299,0.20564064781483465,0.9995320542817033,2136
0 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.20660053646775092,0.9957884885353299,0.20564064781483465,0.9995320542817033,2136
0 ac1faedbfec77623b9a384b2f01ee6ffd3320f85,0.22792022792022795,0.0,0.0,0.8888888888888888,8
0 3e78d89b752d59d26696f0cff1c8474be63d2414,0.23076923076923078,0.0,0.0,0.9,9
0 acca830ab5b2bf04e78ad11ed71a03e7ce3dbbbd,0.23076923076923078,0.0,0.0,0.9,9
0 5dbf2ca6d553a063e96da3695d4611563d62737d,0.11536348654092657,0.9921259842519685,0.11536348654092657,0.9921259842519685,126
0 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.4282632892790176,0.08860759493670886,0.0228022318956794,1.903254972875226,1105
0 30d2ba7d25a7a0f5b9e3b3bf1c76926b31193c1a,0.0,0.0,0.0,0.0,0
0 eaf7803fe8421370005d6873a34100b474380d38,0.29023074418074424,0.6487804878048781,0.13397989767692123,1.3480836236933798,2869
0 63841b50abde7be7f36b38e66695e322dcbc90c9,0.29023074418074424,0.6487804878048781,0.13397989767692123,1.3480836236933798,2869
0 12b5d1af19957351a3a7da2294735440bfc34828,0.29023074418074424,0.6487804878048781,0.13397989767692123,1.3480836236933798,2869
